"id";"created";"nome"
1;"2010-12-28 00:00:01";"ABAETÉ "
2;"2010-12-28 00:00:01";"ABRE-CAMPO "
3;"2010-12-28 00:00:01";"AÇUCENA "
4;"2010-12-28 00:00:01";"ÁGUAS FORMOSAS "
5;"2010-12-28 00:00:01";"AIMORÉS "
6;"2010-12-28 00:00:01";"AIURUOCA "
7;"2010-12-28 00:00:01";"ALÉM PARAÍBA "
8;"2010-12-28 00:00:01";"ALFENAS "
9;"2010-12-28 00:00:01";"ALMENARA "
10;"2010-12-28 00:00:01";"ALPINÓPOLIS "
11;"2010-12-28 00:00:01";"ALTO RIO DOCE "
12;"2010-12-28 00:00:01";"ALVINÓPOLIS "
13;"2010-12-28 00:00:01";"ANDRADAS "
14;"2010-12-28 00:00:01";"ANDRELÂNDIA "
15;"2010-12-28 00:00:01";"ARAÇUAÍ "
16;"2010-12-28 00:00:01";"ARAGUARI "
17;"2010-12-28 00:00:01";"ARAXÁ "
18;"2010-12-28 00:00:01";"ARCOS "
19;"2010-12-28 00:00:01";"AREADO "
20;"2010-12-28 00:00:01";"ARINOS "
21;"2010-12-28 00:00:01";"BAEPENDI "
22;"2010-12-28 00:00:01";"BAMBUÍ "
23;"2010-12-28 00:00:01";"BARÃO DE COCAIS "
24;"2010-12-28 00:00:01";"BARBACENA "
25;"2010-12-28 00:00:01";"BARROSO "
26;"2010-12-28 00:00:01";"BELO HORIZONTE "
27;"2010-12-28 00:00:01";"BELO VALE "
28;"2010-12-28 00:00:01";"BETIM "
29;"2010-12-28 00:00:01";"BICAS "
30;"2010-12-28 00:00:01";"BOA ESPERANÇA "
31;"2010-12-28 00:00:01";"BOCAIÚVA "
32;"2010-12-28 00:00:01";"BOM DESPACHO "
33;"2010-12-28 00:00:01";"BOM SUCESSO "
34;"2010-12-28 00:00:01";"BONFIM "
35;"2010-12-28 00:00:01";"BONFINÓPOLIS DE MINAS "
36;"2010-12-28 00:00:01";"BORDA DA MATA "
37;"2010-12-28 00:00:01";"BOTELHOS "
38;"2010-12-28 00:00:01";"BRASÍLIA DE MINAS "
39;"2010-12-28 00:00:01";"BRASÓPOLIS "
40;"2010-12-28 00:00:01";"BRUMADINHO "
41;"2010-12-28 00:00:01";"BUENO BRANDÃO "
42;"2010-12-28 00:00:01";"BUENÓPOLIS "
43;"2010-12-28 00:00:01";"BURITIS "
44;"2010-12-28 00:00:01";"CABO VERDE "
45;"2010-12-28 00:00:01";"CACHOEIRA DE MINAS "
46;"2010-12-28 00:00:01";"CAETÉ "
47;"2010-12-28 00:00:01";"CALDAS "
48;"2010-12-28 00:00:01";"CAMANDUCAIA "
49;"2010-12-28 00:00:01";"CAMBUÍ "
50;"2010-12-28 00:00:01";"CAMBUQUIRA "
51;"2010-12-28 00:00:01";"CAMPANHA "
52;"2010-12-28 00:00:01";"CAMPESTRE "
53;"2010-12-28 00:00:01";"CAMPINA VERDE "
54;"2010-12-28 00:00:01";"CAMPO BELO "
55;"2010-12-28 00:00:01";"CAMPOS ALTOS "
56;"2010-12-28 00:00:01";"CAMPOS GERAIS "
57;"2010-12-28 00:00:01";"CANÁPOLIS "
58;"2010-12-28 00:00:01";"CANDEIAS "
59;"2010-12-28 00:00:01";"CAPELINHA "
60;"2010-12-28 00:00:01";"CAPINÓPOLIS "
61;"2010-12-28 00:00:01";"CARANDAÍ "
62;"2010-12-28 00:00:01";"CARANGOLA "
63;"2010-12-28 00:00:01";"CARATINGA "
64;"2010-12-28 00:00:01";"CARLOS CHAGAS "
65;"2010-12-28 00:00:01";"CARMO DA MATA "
66;"2010-12-28 00:00:01";"CARMO DE MINAS "
67;"2010-12-28 00:00:01";"CARMO DO CAJURU "
68;"2010-12-28 00:00:01";"CARMO DO PARANAÍBA "
69;"2010-12-28 00:00:01";"CARMO DO RIO CLARO "
70;"2010-12-28 00:00:01";"CARMÓPOLIS DE MINAS "
71;"2010-12-28 00:00:01";"CÁSSIA "
72;"2010-12-28 00:00:01";"CATAGUASES "
73;"2010-12-28 00:00:01";"CAXAMBU "
74;"2010-12-28 00:00:01";"CLÁUDIO "
