"id";"created";"modified";"nome";"uf"
"1";"now()";"now()";"Minas Gerais";"MG"
"2";"now()";"now()";"São Paulo";"SP"
"3";"now()";"now()";"Espírito Santo";"ES"
"4";"now()";"now()";"Rio de Janeiro";"RJ"
"5";"now()";"now()";"Amazonas";"AM"
"6";"now()";"now()";"Goiás";"GO"
"7";"now()";"now()";"Mato Grosso";"MT"
"8";"now()";"now()";"Mato Grosso do Sul";"MS"
"9";"now()";"now()";"Distrito Federal";"DF"
"10";"now()";"now()";"Acre";"AC"
"11";"now()";"now()";"Rondônia";"RO"
"12";"now()";"now()";"Roraima";"RR"
"13";"now()";"now()";"Amapá";"AP"
"14";"now()";"now()";"Tocantis";"TO"
"15";"now()";"now()";"Para";"PA"
"16";"now()";"now()";"Maranhão";"MA"
"17";"now()";"now()";"Piaui";"PI"
"18";"now()";"now()";"Ceara";"CE"
"19";"now()";"now()";"Rio Grande do Norte";"RN"
"20";"now()";"now()";"Paraiba";"PB"
"21";"now()";"now()";"Pernambuco";"PE"
"22";"now()";"now()";"Sergipe";"SE"
"23";"now()";"now()";"Alagoas";"AL"
"24";"now()";"now()";"Bahia";"BA"
"25";"now()";"now()";"Parana";"PR"
"26";"now()";"now()";"Santa Catarina";"SC"
"27";"now()";"now()";"Rio Grande do Sul";"RS"
