"id";"nome"
"1";"INDENIZATÓRIA"
"10";"BUSCA E APREENSÃO"
"11";"MONITÓRIA"
"12";"EXECUÇÃO DE TÍTULO EXTRA-JUDICIAL"
"13";"NOTIFICAÇÃO JUDICIAL"
"14";"ORDINÁRIA"
"16";"DEPÓSITO POR CONVERSÃO"
"17";"PRESTAÇÕES DE CONTAS"
"18";"CANCELAMENTO DE PROTESTO"
"19";"RECISÃO CONTRATUAL"
"2";"REVISIONAL"
"20";"CAUTELAR INOMINADA"
"21";"EMBARGOS DE TERCEIROS"
"22";"REINTEGRAÇÃO DE POSSE"
"23";"REVISIONAL C/C OBRIGAÇÃO DE FAZER OU NÃO FAZER"
"24";"EMBARGOS DO DEVEDOR"
"25";"EXECUÇÃO"
"26";"EMBARGOS À EXECUÇÃO"
"27";"PRECATÓRIA CÍVEL"
"28";"SUSTAÇÃO DE PROTESTO"
"29";"CANCELAMENTO DE ÔNUS"
"3";"COBRANÇA"
"30";"HABILITAÇÃO DE CRÉDITO"
"31";"REPETIÇÃO DE INDÉBITO"
"32";"DIVISÓRIA"
"33";"ANULATÓRIA"
"34";"EXECUÇÃO DE SENTENÇA"
"35";"CUMPRIMENTO DE SENTENÇA"
"36";"IMPUGNAÇÃO AO PEDIDO DE ASSISTÊNCIA JUDICIÁRIA"
"37";"OPOSIÇÃO"
"38";"MEDIDA CAUTELAR DE SUSTAÇÃO DE PROTESTO"
"39";"REVISIONAL C/C REPETICAO DE INDEBITO "
"40";"REVISIONAL C/C REPETICAO DE INDEBITO "
"41";"CONSIGNAÇÃO EM PAGAMENTO"
"42";"MEDIDA CAUTELAR"
"43";"MANDADO DE SEGURANÇA"
"44";"DEPÓSITO"
"45";"COMINATÓRIA"
"46";"PRESTAÇÃO DE CONTAS"
"47";"RECUPERAÇÃO JUDICIAL"
"48";"USUCAPIÃO "
"49";"AGRAVO DE INSTRUMENTO"
"5";"DECLARATÓRIA"
"50";"PROCEDIMENTO ORDINÁRIO"
"51";"REVISIONAL C/C INDENIZATÓRIA"
"52";"REVISIONAL C/C INDENIZATÓRIA"
"53";"EXECUÇÃO PROVISÓRIA "
"54";"INSOLVÊNCIA    "
"55";"COMINATÓRIA C/C REPARAÇÃO DE DANOS MORAIS PEDIDO LIMININAR"
"6";"ESPECIAL"
"7";"OBRIGAÇÃO DE FAZER / NÃO FAZER"
"8";"CAUTELAR"
"9";"EXIBIÇÃO DE DOCUMENTOS"
