"id";"created";"nome"
1;"12/28/2010 00:00:01";"ADMINISTRATIVO"
2;"12/28/2010 00:00:01";"CÂMARA CÍVEL"
3;"12/28/2010 00:00:01";"CÂMARA CRIMINAL"
4;"12/28/2010 00:00:01";"CÂMARA DE DIREITO PRIVADO"
5;"12/28/2010 00:00:01";"CÂMARA ESPECIAL DE FÉRIAS"
6;"12/28/2010 00:00:01";"CARTÓRIO DE RECURSOS E OUTROSTRIBUNAIS"
7;"12/28/2010 00:00:01";"CONSELHO DA MAGISTRATURA"
8;"12/28/2010 00:00:01";"DELEGACIA DE POLÍCIA"
9;"12/28/2010 00:00:01";"DELEGACIA DE TRÂNSITO"
10;"12/28/2010 00:00:01";"FAZENDA PÚBLICA"
11;"12/28/2010 00:00:01";"GERÊNCIA DE ESTRUTURAÇÃO PROCESSUAL"
12;"12/28/2010 00:00:01";"VARA DA INFÂNCIA E JUVENTUDE"
13;"12/28/2010 00:00:01";"JEF"
14;"12/28/2010 00:00:01";"JESP - UNIDADE DE RELAÇÕES DE CONSUMO"
15;"12/28/2010 00:00:01";"JESP CÍVEL"
16;"12/28/2010 00:00:01";"JESP CRIMINAL"
17;"12/28/2010 00:00:01";"PLANTÃO FIM SEMANA/FERIADO"
18;"12/28/2010 00:00:01";"PRECATÓRIA CÍVEL"
19;"12/28/2010 00:00:01";"PRESIDÊNCIA"
20;"12/28/2010 00:00:01";"PROMOTORIA DE JUSTIÇA"
21;"12/28/2010 00:00:01";"TURMA DO TRIBUNAL REGIONAL DO TRABALHO"
22;"12/28/2010 00:00:01";"TURMA DO TRIBUNAL SUPERIOR DO TRABALHO"
23;"12/28/2010 00:00:01";"TURMA RECURSAL"
24;"12/28/2010 00:00:01";"VARA FEDERAL"
25;"12/28/2010 00:00:01";"VARA CÍVEL"
26;"12/28/2010 00:00:01";"VARA CRIMINAL"
27;"12/28/2010 00:00:01";"VARA DA FAZENDA ESTADUAL"
28;"12/28/2010 00:00:01";"VARA DO TRABALHO"
29;"12/28/2010 00:00:01";"VARA PRECATÓRIA"
30;"12/28/2010 00:00:01";"VARA ÚNICA"
31;"12/28/2010 00:00:01";"VICE PRESIDÊNCIA"
