"id";"created";"nome"
1;"2011-01-01 00:00:01";"AÇÃO ANULATÓRIA"
2;"2011-01-01 00:00:01";"AÇÃO CAUTELAR"
3;"2011-01-01 00:00:01";"AÇÃO DE CONSIGNAÇÃO EM PAGAMENTO"
4;"2011-01-01 00:00:01";"AÇÃO DECLARATÓRIA"
5;"2011-01-01 00:00:01";"AÇÃO RESCISÓRIA"
6;"2011-01-01 00:00:01";"ADITAMENTO"
7;"2011-01-01 00:00:01";"AGRAVO DE INSTRUMENTO AO STF"
8;"2011-01-01 00:00:01";"AGRAVO DE INSTRUMENTO AO STJ"
9;"2011-01-01 00:00:01";"AGRAVO DE PETIÇÃO"
10;"2011-01-01 00:00:01";"AGRAVO REGIMENTAL"
11;"2011-01-01 00:00:01";"ANTECIPAÇÃO DE TUTELA"
12;"2011-01-01 00:00:01";"APELAÇÃO"
13;"2011-01-01 00:00:01";"APELAÇÃO ADESIVA"
14;"2011-01-01 00:00:01";"APRESENTAÇÃO DE CÁLCULOS"
15;"2011-01-01 00:00:01";"ARGUIÇÃO DE SUSPEIÇÃO/IMPEDIMENTO"
16;"2011-01-01 00:00:01";"BACENJUD"
17;"2011-01-01 00:00:01";"CADASTRAMENTO DE PROCURADORA"
18;"2011-01-01 00:00:01";"CARTA DE SENTENÇA EXTRAÇÃO/MANIFESTAÇÃO"
19;"2011-01-01 00:00:01";"COMPROVAÇÃO DE CUMPRIMENTO DE OBRIGAÇÃO DE FAZER (ESPECIFICAR EM OBSERVAÇÕES)"
20;"2011-01-01 00:00:01";"COMPROVAÇÃO DE MULTA ADMINISTRATIVA"
21;"2011-01-01 00:00:01";"COMPROVAÇÃO DE PAGAMENTO DE ACORDO"
22;"2011-01-01 00:00:01";"COMPROVAÇÃO DE PAGAMENTO DE CUSTAS PROCESSUAIS"
23;"2011-01-01 00:00:01";"COMPROVAÇÃO DE PAGAMENTO DE HONORÁRIOS PERICIAIS"
24;"2011-01-01 00:00:01";"COMPROVAÇÃO DE PAGAMENTO DE PENSÃO MENSAL"
25;"2011-01-01 00:00:01";"COMPROVAÇÃO DE RECOLHIMENTOS PREVIDENCIÁRIOS E FISCAIS"
26;"2011-01-01 00:00:01";"CONFLITO DE COMPETÊNCIA"
27;"2011-01-01 00:00:01";"CONSIGNAÇÃO DE PROTESTO"
28;"2011-01-01 00:00:01";"CONTESTAÇÃO"
29;"2011-01-01 00:00:01";"CONTRAMINUTA DE AGRAVO AO STF"
30;"2011-01-01 00:00:01";"CONTRAMINUTA DE AGRAVO AO STJ"
31;"2011-01-01 00:00:01";"CONTRAMINUTA DE AGRAVO DE INSTRUMENTO"
32;"2011-01-01 00:00:01";"CONTRAMINUTA DE AGRAVO DE PETIÇÃO"
33;"2011-01-01 00:00:01";"CONTRARRAZÕES À APELAÇÃO"
34;"2011-01-01 00:00:01";"CONTRARRAZÕES DE RECURSO DE REVISTA"
35;"2011-01-01 00:00:01";"CONTRARRAZÕES DE RECURSO ESPECIAL"
36;"2011-01-01 00:00:01";"CONTRARRAZÕES DE RECURSO EXTRAORDINÁRIO"
37;"2011-01-01 00:00:01";"CONTRARRAZÕES DE RECURSO ORDINÁRIO"
38;"2011-01-01 00:00:01";"CORREIÇÃO"
39;"2011-01-01 00:00:01";"CUMPRIMENTO DE SENTENÇA"
40;"2011-01-01 00:00:01";"DEFESA"
41;"2011-01-01 00:00:01";"DESARQUIVAMENTO"
42;"2011-01-01 00:00:01";"DESARQUIVAMENTO"
43;"2011-01-01 00:00:01";"DESISTÊNCIA E/OU RENÚNCIA E/OU REVOGAÇÃO"
44;"2011-01-01 00:00:01";"DEVOLUÇÃO DE PRAZO"
45;"2011-01-01 00:00:01";"DILAÇÃO DE PRAZO"
46;"2011-01-01 00:00:01";"DISCRIMINAÇÃO DE PARCELAS"
47;"2011-01-01 00:00:01";"DISTRIBUIÇÃO POR DEPENDÊNCIA"
48;"2011-01-01 00:00:01";"EMBARGOS À EXECUÇÃO"
49;"2011-01-01 00:00:01";"EMBARGOS À MONITÓRIA"
50;"2011-01-01 00:00:01";"EMBARGOS DE DECLARAÇÃO"
51;"2011-01-01 00:00:01";"EMBARGOS DE TERCEIRO"
52;"2011-01-01 00:00:01";"ESPECIFICAÇÃO DE PROVAS"
53;"2011-01-01 00:00:01";"EXCEÇÃO DE INCOMPETÊNCIA"
54;"2011-01-01 00:00:01";"EXCEÇÃO DE PRÉ-EXECUTIVIDADE"
55;"2011-01-01 00:00:01";"EXECUÇÃO DE HONORÁRIOS"
56;"2011-01-01 00:00:01";"EXPEDIÇÃO DE ALVARÁ"
57;"2011-01-01 00:00:01";"EXPEDIÇÃO DE CARTA PRECATÓRIA"
58;"2011-01-01 00:00:01";"EXPEDIÇÃO DE OFÍCIOS"
59;"2011-01-01 00:00:01";"IMPUGNAÇÃO À CONTESTAÇÃO"
60;"2011-01-01 00:00:01";"IMPUGNAÇÃO À LIQUIDAÇÃO E/OU IMPUGNAÇÃO AOS EMBARGOS DE EXECUÇÃO"
61;"2011-01-01 00:00:01";"IMPUGNAÇÃO AO CUMPRIMENTTO DE SENTENÇA"
62;"2011-01-01 00:00:01";"IMPUGNAÇÃO AO VALOR DA CAUSA"
63;"2011-01-01 00:00:01";"IMPUGNAÇÃO DE CÁLCULOS DE LIQUIDAÇÃO"
64;"2011-01-01 00:00:01";"IMPUGNAÇÃO DE DOCUMENTOS"
65;"2011-01-01 00:00:01";"IMPUGNAÇÃO DE ESCLARECIMENTOS PERICIAIS"
66;"2011-01-01 00:00:01";"IMPUGNAÇÃO DE HONORÁRIOS PERICIAIS"
67;"2011-01-01 00:00:01";"IMPUGNAÇÃO DE LAUDO PERICIAL"
